	new word	new_genre	old word	old_genre
114	долларов	A7	миллионов	A12
115	отдельных	A7	различных	A12
116	месяц	A7	год	A12
117	тыс	A7	около	A12
118	тыс	A7	тысяч	A12
119	тысяч	A7	штук	A12
120	товаров	A7	продукции	A12
121	Месте	A7	На	A12
122	машиностроения	A7	заводе	A12
123	используемым	A7	применяется	A12
124	устройство	A7	оборудование	A12
125	универсальные	A7	современные	A12
126	автоматизации	A7	технологии	A12
127	профессиональных	A7	ведущих	A12
128	предпринимателей	A7	фирм	A12
129	Великобритании	A7	Германии	A12
130	Чехии	A7	Австрии	A12
131	Албании	A7	Италии	A12
132	Австрии	A7	Дании	A12
133	пользовательского	A7	программное	A12
134	управлении	A7	управление	A12
135	компанию	A7	компании	A12
136	Комплектующих	A7	Производство	A12
137	осуществляющему	A7	осуществляют	A12
138	любым	A7	способом	A12
139	окончательной	A7	последующей	A12
140	правилами	A7	соответствии	A12
141	Строительный	A7	Технологический	A12
142	баланс	A7	ход	A12
143	приходят	A7	ведут	A12
144	способа	A7	методом	A12
145	включая	A7	включают	A12
146	странной	A1	настоящей	A9
147	Ратифицировали	A1	Конвенции	A9
148	отметил	A1	отмечая	A9
149	коммерческие	A1	международные	A9
150	Порошенко	A1	Лукашенко	A8
151	Особенностях	A1	Об	A8
152	заверил	A1	заявил	A8
153	Аркадий	A1	Александр	A8
154	рассказывая	A1	сообщает	A8
155	генеральным	A1	президентом	A8
156	Подвести	A1	Итоги	A8
157	характеризуются	A1	отмечены	A8
158	отмечать	A1	отмечают	A8
159	одностороннем	A1	двусторонней	A8
160	Публикация	A12	Аннотация	A14
161	алгоритма	A12	вычисления	A14
162	успехи	A12	результаты	A14
163	сделанные	A12	полученные	A14
164	подсчета	A12	расчета	A14
165	пароля	A12	алгоритма	A14
166	поперечных	A12	лопастей	A14
167	дискретной	A12	аналитической	A14
168	разности	A12	коэффициенты	A14
169	параметров	A12	переменных	A14
170	Произведено	A12	Было	A14
171	сформулировано	A12	рассмотрено	A14
172	искажения	A12	отклонения	A14
173	позвонков	A12	лопасти	A14
174	типами	A12	параметрами	A14
175	теплового	A12	потока	A14
176	скорости	A12	траектории	A14
177	сделано	A12	получено	A14
178	Продавать	A7	Продается	A12
179	театр	A7	студия	A12
180	находящейся	A7	находится	A12
181	Около	A7	До	A12
182	добраться	A7	ближайшей	A12
183	заключением	A7	сроком	A12
184	необходимой	A7	возможной	A12
185	кредитам	A7	ставкой	A12
186	налогами	A7	расходами	A12
187	туалетной	A7	ресепшен	A12
188	пользователей	A7	клиентов	A12
189	субкультур	A7	моды	A12
190	Звукозапись	A7	Студия	A12
191	называется	A7	является	A12
192	Четвертая	A7	Первая	A12
193	тасс	A1	новости	A8
194	мая	A1	марта	A8
195	самолета	A1	самолет	A8
196	поезд	A1	маршруту	A8
197	Новгород	A1	Киев	A8
198	рассказывая	A1	сообщают	A8
199	Юстиции	A1	Министерстве	A8
200	железнодорожного	A1	транспорта	A8
201	Приднестровья	A1	Украины	A8
202	Юстиции	A1	Министр	A8
203	перевозок	A1	транспорта	A8
204	телефонной	A1	связи	A8
205	экипажа	A1	посадки	A8
206	заявляет	A1	заявил	A8
207	желает	A1	готова	A8
208	принимает	A1	принимать	A8
209	самолета	A1	самолеты	A8
210	разновидность	A1	типа	A8
211	Вернулся	A1	Он	A8
212	заверил	A1	сообщил	A8
213	шереметьево	A1	аэропорт	A8
214	следующем	A1	году	A8
215	определено	A1	выделено	A8
216	руб	A1	млн	A8
217	размере	A1	грн	A8
218	и	A1	В	A8
219	некогда	A1	прошлом	A8
220	следующем	A1	году	A8
221	указаниям	A1	словам	A8
222	ваши	A17	моей	A1
223	читатели	A17	люди	A1
224	обладать	A17	обладающие	A1
225	наверное	A17	значит	A1
226	Генеральный	A1	Президент	A8
227	Ирака	A1	Ахмадинежад	A8
228	заявляет	A1	заявил	A8
229	путину	A1	президенту	A8
230	заверил	A1	заявлял	A8
231	спросил	A1	сказал	A8
232	генеральный	A1	президент	A8
233	презентации	A7	выставке	A12
234	Греция	A7	Италия	A12
235	стационарные	A7	компактные	A12
236	электромагнитных	A7	акустические	A12
237	автоматизации	A7	технологии	A12
238	напишите	A7	решите	A12
239	голосовое	A7	звуковое	A12
240	устройство	A7	оборудование	A12
241	каких	A7	любых	A12
242	альбомов	A7	музыкальных	A12
243	приоритетов	A7	направлений	A12
244	такую	A7	необходимую	A12
245	генератора	A7	мощность	A12
246	низкочастотного	A7	диапазоне	A12
247	имеющих	A7	имеет	A12
248	приз	A7	лучший	A12
249	генераторов	A7	мощность	A12
250	традиционной	A7	традиционного	A12
251	образовательного	A7	профессионального	A12
252	спецтехники	A7	оборудования	A12
253	энергопотребление	A7	производительности	A12
254	Лондон	A7	Англия	A12
255	представляющих	A7	представляет	A12
256	сервисное	A7	оборудование	A12
257	необходимо	A7	позволяет	A12
258	выработать	A7	реализовать	A12
259	указанном	A7	самом	A12
260	применяемые	A7	используются	A12
261	моделировании	A7	динамики	A12
262	долл	A12	млрд	A8
263	автомобили	A12	АвтоВАЗ	A8
264	грн	A12	млрд	A8
265	Особенностях	A12	Об	A8
266	конгрессе	A12	конференции	A8
267	заверил	A12	заявил	A8
268	директор	A12	президент	A8
269	Виталий	A12	Игорь	A8
270	Жуков	A12	Комаров	A8
271	завода	A12	АвтоВАЗа	A8
272	объявил	A12	сообщил	A8
273	декабре	A12	году	A8
274	комплектующих	A12	АвтоВАЗа	A8
275	миллиона	A12	составила	A8
276	ДУМАЕМ	A9	МЫ	A1
277	РАЗВЕ	A9	НЕТ	A1
278	ВОВСЕ	A9	НЕ	A1
279	знаем	A9	требуем	A1
280	соблюдение	A9	соблюдения	A1
281	людей	A9	человека	A1
282	Идеология	A9	Атеизм	A1
283	основным	A9	является	A1
284	хорошим	A9	простым	A1
285	бог	A9	бога	A1
286	собою	A9	собой	A1
287	воззрений	A9	мировоззрение	A1
288	междисциплинарные	A9	научные	A1
289	нравственность	A9	моральные	A1
290	богословия	A9	философию	A1
291	общественной	A9	жизни	A1
292	Религии	A9	Атеизм	A1
293	выражается	A9	основывается	A1
294	биологического	A9	естественного	A1
295	исследуемого	A9	окружающего	A1
296	настоящим	A9	единственным	A1
297	богини	A9	богов	A1
298	Религия	A9	Атеизм	A1
299	сказывается	A9	основывается	A1
300	полученных	A9	полученное	A1
301	Философия	A9	Атеизм	A1
302	предположении	A9	основываясь	A1
303	законах	A9	принципах	A1
304	церковного	A9	светского	A1
305	принципиальное	A9	первостепенное	A1
306	термина	A9	значении	A1
307	человеческой	A9	человека	A1
308	существо	A9	существа	A1
309	нравственной	A9	религиозной	A1
310	функционировании	A9	структуре	A1
311	Ввиду	A9	Исходя	A1
312	отстаивать	A9	исповедовать	A1
313	Сирия	A1	Иран	A8
314	Африку	A1	Сирию	A8
315	одобряет	A1	считает	A8
316	комплектующие	A1	поставки	A8
317	коалиции	A1	оппозиции	A8
318	действиям	A1	последствиям	A8
319	страны	A1	региона	A8
320	заверил	A1	заявил	A8
321	празднование	A1	воскресенье	A8
322	юстиции	A1	министр	A8
323	Махмуд	A1	Али	A8
324	выступить	A1	выступил	A8
325	созданию	A1	приступил	A8
326	Характере	A1	Об	A8
327	объявлено	A1	сообщило	A8
328	российское	A1	агентство	A8
329	долл	A1	млрд	A8
330	добычи	A1	нефти	A8
331	западу	A1	км	A8
332	Реализация	A9	Работа	A7
333	сведениями	A9	сообщениями	A7
334	информационной	A9	корпоративной	A7
335	отправлений	A9	почты	A7
336	назначено	A9	назначение	A7
337	Синхронизма	A9	Синхронизация	A7
338	пользователями	A9	сервером	A7
339	понимаете	A9	находитесь	A7
340	публичной	A9	корпоративной	A7
341	коммуникатора	A9	коммуникатор	A7
342	эфире	A9	каналу	A7
343	отключение	A9	синхронизацию	A7
344	пользователями	A9	сервером	A7
345	Панель	A9	Настройка	A7
346	подключений	A9	подключения	A7
347	пользователям	A9	серверу	A7
348	пользователями	A9	сервере	A7
349	изменить	A9	настроить	A7
350	разъем	A9	подключение	A7
351	пишите	A9	узнайте	A7
352	пожалуйста	A9	введите	A7
353	Изменить	A9	Настроить	A7
354	вкладками	A9	вкладке	A7
355	гаджеты	A9	меню	A7
356	основополагающие	A1	приоритеты	A8
357	небольшом	A1	В	A8
358	очередную	A1	первую	A8
359	заверил	A1	заявил	A8
360	МИНЭКОНОМРАЗВИТИЯ	A1	РФ	A8
361	Виталий	A1	Владимир	A8
362	действительный	A1	корреспондент	A8
363	ИНФОРМАЦИОННЫЙ	A1	ИА	A8
364	выступить	A1	выступая	A8
365	Государственных	A1	Государственной	A8
366	законопроектам	A1	думой	A8
367	РСФСР	A1	РФ	A8
368	года	A1	апреля	A8
369	избирательного	A1	депутата	A8
370	Думе	A1	Госдумы	A8
371	охарактеризовал	A1	отметил	A8
372	региону	A1	регионам	A8
373	Только	A1	Кроме	A8
374	настанет	A4	будущее	A1
375	семантикой	A4	семантических	A1
376	Наверняка	A4	Действительно	A1
377	слово	A4	означает	A1
378	первого	A4	поколения	A1
379	обнаруживает	A4	обнаруживается	A1
380	Трактует	A4	Рассматривая	A1
381	думаю	A4	подумать	A1
382	Биологического	A9	Биологические	A14
383	техники	A9	науки	A14
384	Федеральная	A9	Региональная	A14
385	теме	A9	диссертации	A14
386	трудности	A9	проблемы	A14
387	Администрации	A9	Глава	A14
388	БЛАГОПРИЯТНОГО	A9	УСЛОВИЯ	A14
389	следующем	A9	В	A14
390	ПУНКТАХ	A9	РАЙОНАХ	A14
391	КУБИНСКОГО	A9	КАНАРСКОГО	A14
392	однако	A9	И	A14
393	АНТРОПОГЕННОЙ	A9	ПОПУЛЯЦИИ	A14
394	узнает	A7	сообщает	A8
395	эффективности	A7	качества	A12
396	начинающих	A7	профессионалов	A12
397	И	A7	На	A12
398	самой	A7	крупнейшей	A12
399	федерацией	A7	международной	A12
400	галерее	A7	выставке	A12
401	предприятий	A7	промышленности	A12
402	купила	A7	компания	A12
403	короткий	A7	широкий	A12
404	излучение	A7	спектр	A12
405	задач	A7	решений	A12
406	то	A7	прямо	A12
407	варить	A7	печь	A12
408	Возможному	A7	По	A12
409	Немецких	A7	Немецкого	A12
410	институт	A7	института	A12
411	рыбных	A7	замороженных	A12
412	находится	A7	находящегося	A12
413	Пекине	A7	Берлине	A12
414	дни	A7	последние	A12
415	старше	A7	лет	A12
416	продажей	A7	продажи	A12
417	ингредиентов	A7	замороженных	A12
418	блюд	A7	мясных	A12
419	увидели	A7	упали	A12
420	задач	A7	решения	A12
421	фармацевтической	A7	пищевой	A12
422	крышкой	A7	пленкой	A12
423	хотели	A7	смогли	A12
424	влияет	A7	повлиять	A12
425	способ	A7	процесс	A12
426	комплектующих	A7	производство	A12
427	другую	A7	новую	A12
428	версии	A7	версию	A12
429	Купила	A7	Компания	A12
430	промышленность	A7	производство	A12
431	другую	A7	новую	A12
432	копию	A7	версию	A12
433	основным	A7	является	A12
434	членом	A7	лидером	A12
435	модификация	A7	модель	A12
436	имитирует	A7	сочетает	A12
437	пространственный	A7	компактный	A12
438	рисунок	A7	дизайн	A12
439	исключительную	A7	высокую	A12
440	замедления	A7	скорость	A12
441	порошка	A7	упаковки	A12
442	нефтяной	A7	газовой	A12
443	сегодняшний	A1	день	A4
444	ванной	A1	комнате	A4
445	Стоить	A1	Стоило	A4
446	формования	A1	стекла	A4
447	сожалению	A1	сожаления	A4
448	пластика	A1	стекло	A4
449	утра	A1	ночи	A4
450	натуры	A1	картины	A4
451	Характеристика	A7	Оценка	A14
452	полученными	A7	методами	A14
453	Совместная	A16	Работа	A14
454	изучения	A16	исследования	A14
455	Идеологические	A1	Национальные	A9
456	Противоборства	A1	Сторон	A9
457	Межправительственной	A1	Конвенции	A9
458	Представления	A1	Представление	A9
459	повторюсь	A1	вторых	A9
460	существующих	A1	соответствующих	A9
461	ведь	A1	третьих	A9
462	пересылки	A1	сообщений	A9
463	Мышление	A1	Представление	A9
464	повторюсь	A1	вторых	A9
465	блогов	A1	сообщений	A9
466	Ратифицировали	A1	Конвенции	A9
467	Рекомендовано	A1	Рекомендация	A9
468	газами	A1	газовый	A8
469	инвестиции	A1	млрд	A8
470	Нижнекамскнефтехим	A1	Газпром	A8
471	заверил	A1	сообщил	A8
472	элементарной	A1	фундаментальной	A14
473	бесконечного	A1	парадоксов	A14
474	обнаружила	A1	обнаружено	A14
475	Ролей	A1	Роль	A14
476	бесконечного	A1	парадоксов	A14
477	игнорировать	A1	анализировать	A14
478	менее	A1	наиболее	A14
479	Названием	A1	Ранее	A8
480	Уголовный	A1	Следственный	A8
481	обычное	A1	второе	A8
482	делу	A1	дело	A8
483	мосгордуму	A1	мэра	A8
484	приговору	A1	арестован	A8
485	июле	A1	июля	A8
486	арестованы	A1	обвинению	A8
487	уплату	A1	взятку	A8
488	утверждал	A1	заявил	A8
489	имел	A1	имеет	A8
490	историческую	A1	политическую	A8
491	майдана	A1	митинга	A8
492	Справа	A7	Мини	A12
493	Кондиционер	A7	Комфорт	A12
494	разработала	A7	разработана	A12
495	способностью	A7	обладает	A12
496	собственными	A7	следующими	A12
497	параметрами	A7	характеристиками	A12
498	Похожие	A7	Компактные	A12
499	Привело	A7	Благодаря	A12
500	Направо	A7	Мини	A12
501	Компактность	A7	Комфорт	A12
502	место	A7	занимает	A12
503	лазера	A7	светового	A12
504	пространстве	A7	пространства	A12
505	снижает	A7	препятствует	A12
506	Систем	A7	Система	A12
507	удержания	A7	фиксации	A12
508	пейзажи	A7	полотна	A12
509	полном	A7	В	A12
510	Направо	A7	Мини	A12
511	Салона	A7	Комфорт	A12
512	полотен	A7	полотно	A12
513	изделий	A7	изделия	A12
514	необходимо	A7	позволяет	A12
515	избавиться	A7	избежать	A12
516	волновых	A7	колебаний	A12
517	пейзажи	A7	полотна	A12
518	автоматического	A7	механизма	A12
519	ножки	A7	створки	A12
520	Необходимость	A7	Возможность	A12
521	мотором	A7	комплектации	A12
522	аксессуары	A7	шторы	A12
523	Направо	A7	Мини	A12
524	Безопасность	A7	Комфорт	A12
525	представленность	A7	представлена	A12
526	нескольких	A7	трех	A12
527	окраска	A7	коричневый	A12
528	Подобно	A7	Благодаря	A12
529	чему	A7	этому	A12
530	кирпичи	A7	деревянные	A12
531	Невозможности	A7	Возможность	A12
532	натяжения	A7	крепления	A12
533	основной	A7	основу	A12
534	Текстиля	A7	Изделия	A12
535	сантиметров	A7	шириной	A12
536	цитаты	A16	текст	A14
537	Исследованных	A16	Исследование	A14
538	закономерностей	A16	характеристик	A14
539	инспекционного	A16	оперативного	A14
540	максимума	A16	максимальных	A14
541	соответствующих	A16	применимых	A14
542	сигналов	A16	частот	A14
543	полном	A16	В	A14
544	сначала	A16	А	A14
545	астрономии	A16	физики	A14
546	исследуемого	A16	исследуется	A14
547	простота	A16	точность	A14
548	методику	A16	методики	A14
549	штаба	A16	оперативного	A14
550	МТТ	A16	МПЧ	A14
551	использование	A16	использованием	A14
552	документов	A16	данных	A14
553	искажения	A16	отклонения	A14
554	штаба	A16	оперативного	A14
555	мониторинга	A16	прогнозов	A14
556	многих	A16	различных	A14
557	эффективно	A16	условиях	A14
558	Подтверждена	A16	Показано	A14
559	популярностью	A16	наибольшей	A14
560	сложностью	A16	точностью	A14
561	приближения	A16	приближение	A14
562	реагирования	A16	оперативного	A14
563	МТТ	A16	МПЧ	A14
564	привлечением	A16	использованием	A14
565	экспериментов	A16	экспериментальных	A14
566	рефинансирования	A16	долгосрочных	A14
567	функциональных	A16	модельных	A14
568	документов	A16	данных	A14
569	датчиков	A16	параметров	A14
570	распространить	A16	распространения	A14
571	максимального	A16	максимальных	A14
572	применении	A16	применимых	A14
573	Долгосрочной	A16	Долгосрочный	A14
574	похожие	A16	вариации	A14
575	только	A1	А	A14
576	геополитического	A1	исторического	A14
577	предстояло	A1	задача	A14
578	тысячелетия	A1	десятилетия	A14
579	получило	A1	широкое	A14
580	идеологического	A1	методологического	A14
581	проблематики	A1	проблемы	A14
582	изучать	A1	изучающих	A14
583	солидарности	A1	всеобщей	A14
584	реальными	A1	явлениями	A14
585	прокурорского	A1	дисциплинарного	A14
586	соблюдения	A1	принципа	A14
587	развития	A1	освоения	A14
588	же	A1	В	A14
589	культурология	A1	междисциплинарности	A14
590	Аргентина	A16	Канада	A8
591	праздник	A16	суббота	A8
592	года	A16	июля	A8
593	году	A16	года	A8
594	направляется	A16	уходит	A8
595	Полковник	A16	Губернатор	A8
596	уполномочивается	A16	полномочия	A8
597	Называлась	A16	Бывшая	A8
598	выборах	A16	кандидат	A8
599	направляется	A16	уходит	A8
600	пенсию	A16	отставку	A8
601	посту	A16	поста	A8
602	законодательного	A16	губернатора	A8
603	вашингтона	A16	штата	A8
604	рассказывая	A16	сообщает	A8
605	указаниям	A16	словам	A8
606	обязанности	A16	полномочия	A8
607	законодательного	A16	губернатора	A8
608	л	A16	г	A8
609	Случаи	A16	Причины	A8
610	сделает	A16	станет	A8
611	заместителем	A16	заместителя	A8
612	Планируется	A16	Ожидается	A8
613	указан	A16	приведен	A8
614	концов	A16	конце	A8
615	ноября	A16	июля	A8
616	э	A16	г	A8
617	законодательного	A16	губернатора	A8
618	заняли	A16	заняла	A8
619	стать	A16	став	A8
620	женщина	A16	женщиной	A8
621	политическую	A16	администрацию	A8
622	вашингтон	A16	штата	A8
623	выдвижение	A16	кандидатом	A8
624	обязанности	A16	пост	A8
625	Консервативной	A16	Республиканской	A8
626	политсовета	A16	партии	A8
627	парламентских	A16	выборах	A8
628	кучмы	A16	президента	A8
629	др	A16	г	A8
630	будущим	A16	вместе	A8
631	избранным	A16	кандидатом	A8
632	обязанности	A16	пост	A8
633	обамы	A16	президента	A8
634	выражению	A16	мнению	A8
635	историков	A16	экспертов	A8
636	суждений	A16	противоречивости	A14
637	автомобилей	A16	моделей	A14
638	терминов	A16	выражений	A14
639	называет	A16	характеризует	A14
640	текста	A16	раздела	A14
641	модификации	A16	модель	A14
642	включений	A1	включения	A9
643	солдатами	A1	жителями	A9
644	связанной	A1	С	A9
645	Конституционный	A1	Федеральный	A9
646	законодательстве	A1	закон	A9
647	марте	A1	марта	A9
648	Украина	A1	Крым	A9
649	старых	A1	новых	A9
650	республик	A1	субъектов	A9
651	Украина	A1	Крым	A9
652	федеральной	A1	федерального	A9
653	показателя	A1	значения	A9
654	нормах	A1	нормативных	A9
655	преступлений	A1	актов	A9
656	Единственной	A1	Основной	A9
657	памятник	A1	установлен	A9
658	Порошенко	A1	Украины	A9
659	Жительства	A1	Паспорта	A9
660	людям	A1	гражданам	A9
661	Татарстана	A1	Республики	A9
662	повышение	A1	замещение	A9
663	ведомств	A1	государственных	A9
664	чиновников	A1	должностей	A9
665	чиновников	A1	должностей	A9
666	национальной	A1	государственной	A9
667	руководящего	A1	организации	A8
668	должны	A1	могут	A8
669	велись	A1	завершены	A8
670	декабре	A1	году	A8
671	Действительно	A1	Как	A8
672	таки	A1	это	A8
673	выражая	A1	выразил	A8
674	обязанности	A1	помощник	A8
675	кучмы	A1	президента	A8
676	ФЕДЕРАЛЬНЫХ	A1	РФ	A8
677	Сечин	A1	Дворкович	A8
678	Левич	A1	Дворкович	A8
679	визита	A1	делегация	A8
680	подчеркивает	A1	подчеркнул	A8
681	считал	A1	назвал	A8
682	заработной	A7	стоимости	A12
683	конструкция	A7	модель	A12
684	если	A7	обязательно	A12
685	мои	A7	наши	A12
686	пользователи	A7	менеджеры	A12
687	соответствующем	A7	нашем	A12
688	магазины	A7	магазине	A12
689	попросту	A7	совершенно	A12
690	указанном	A7	В	A12
691	посуды	A7	мебели	A12
692	необходим	A7	надежный	A12
693	концепцию	A7	модель	A12
694	различается	A7	отличается	A12
695	Виталий	A16	Сергей	A8
696	оценку	A16	дал	A8
697	Петербурга	A16	Москвы	A8
698	доказывает	A4	факт	A1
699	мужчину	A4	человека	A1
700	стране	A4	страну	A1
701	королевства	A4	государства	A1
702	этих	A4	большинства	A1
703	Вопрос	A4	Проблема	A1
704	некоторая	A4	критическая	A1
705	разве	A4	это	A1
706	кг	A4	масса	A1
707	жалости	A4	беде	A1
708	Различные	A12	Специальные	A14
709	эффективные	A12	методы	A14
710	Способ	A12	Метод	A14
711	Утверждение	A12	Определение	A14
712	предмета	A12	объекта	A14
713	Выяснение	A12	Исследование	A14
714	предприятий	A12	объектов	A14
715	Социологический	A12	Анализ	A14
716	плотностью	A12	плотности	A14
717	резервирования	A12	распределения	A14
718	определяемых	A12	изучаемых	A14
719	кристаллах	A12	рассеяние	A14
720	протона	A12	нейтронов	A14
721	надежный	A12	эффективный	A14
722	методом	A12	метод	A14
723	выяснения	A12	изучения	A14
724	трибологических	A12	фундаментальных	A14
725	крупнейших	A12	важнейших	A14
726	производств	A12	технологических	A14
727	экспериментах	A12	исследованиях	A14
728	эффективно	A12	активно	A14
729	употребляется	A12	используется	A14
730	состоянии	A12	состояния	A14
731	устройств	A12	систем	A14
732	химически	A12	веществ	A14
733	биологических	A12	биологии	A14
734	металлических	A12	полимерных	A14
735	препаратов	A12	веществ	A14
736	многих	A12	других	A14
737	краях	A12	областях	A14
738	технологии	A12	техники	A14
739	позволит	A12	возможность	A14
740	прогнозирования	A12	анализа	A14
741	функциональной	A12	структуры	A14
742	автоматизации	A12	систем	A14
743	даже	A12	например	A14
744	всегда	A12	часто	A14
745	полноценным	A12	единственным	A14
746	любым	A12	способом	A14
747	получении	A12	получения	A14
748	прямого	A12	прямой	A14
749	количественной	A12	структурной	A14
750	компьютерах	A12	системах	A14
751	полностью	A12	частично	A14
752	расположение	A12	расположением	A14
753	однородных	A12	неоднородностей	A14
754	толщине	A12	плотности	A14
755	сантиметров	A12	размеров	A14
756	тысяч	A12	порядка	A14
757	предлагает	A12	дает	A14
758	позволяющие	A12	возможность	A14
759	контролировать	A12	исследовать	A14
760	систему	A12	структуру	A14
761	тенденция	A17	мода	A12
762	экскурсии	A17	путешествия	A12
763	осуществление	A17	создание	A12
764	туалетов	A17	салонов	A12
765	принятии	A17	решений	A12
766	каком	A17	внешнем	A12
767	дизайн	A17	дизайне	A12
768	автомобилей	A17	моделей	A12
769	Главных	A17	Одним	A12
770	некоммерческих	A17	проектов	A12
771	компаний	A17	компании	A12
772	оказалось	A17	стало	A12
773	оформлении	A17	стиле	A12
774	общественности	A17	широкой	A12
775	поклонников	A17	публике	A12
776	Йоханнесбурге	A17	Женеве	A12
777	ни	A17	одной	A12
778	становится	A17	стала	A12
779	фары	A17	кузова	A12
780	Никакое	A17	Оно	A12
781	выполнили	A17	выполнено	A12
782	явном	A17	виде	A12
783	двенадцать	A17	четыре	A12
784	задней	A17	сегмента	A12
785	вертикали	A17	вертикальной	A12
786	дать	A17	получить	A12
787	понятный	A17	удобный	A12
788	жуков	A17	вид	A12
789	серьезные	A17	большие	A12
790	мозг	A17	головного	A12
791	видимого	A17	света	A12
792	Хотя	A17	Сам	A12
793	кузова	A17	модели	A12
794	люкс	A17	класса	A12
795	железа	A17	металла	A12
796	необходимо	A17	позволяет	A12
797	ограничить	A17	снизить	A12
798	некую	A17	общую	A12
799	полезную	A17	массу	A12
800	принципиально	A17	качественно	A12
801	пойду	A9	минутку	A7
802	экономическими	A9	ресурсами	A7
803	таки	A9	это	A7
804	помочь	A9	поможет	A7
805	временем	A9	быстро	A7
806	анализировать	A9	находить	A7
807	аргументы	A9	ответы	A7
808	эти	A9	свои	A7
809	ответы	A9	вопросы	A7
810	Необходимо	A9	Чтобы	A7
811	написать	A9	сделать	A7
812	поиском	A9	поиск	A7
813	аргументов	A9	ответов	A7
814	лучше	A9	приятнее	A7
815	лиги	A9	команды	A7
816	написал	A9	создал	A7
817	теоретическую	A9	музыкальную	A7
818	встречу	A9	экскурсию	A7
819	экологическому	A9	центру	A7
820	Нахождение	A9	Поиск	A7
821	ответ	A9	ответа	A7
822	спор	A9	вопрос	A7
823	Пожалуйста	A9	Введите	A7
824	этот	A9	свой	A7
825	обсуждался	A9	вопрос	A7
826	передней	A9	верхней	A7
827	часть	A9	части	A7
